"","Filename","Location","Habitat","Season","H","RelStr","RelStr_Norm"
"472","S4A01321_20180411_140555.wav","SokoM","NonCore","Dry","H1",0.064281262,0.795105152694795
"473","S4A01321_20180411_141738.wav","ShipL","NonCore","Dry","H1",0.037340086,0.461865462141468
"474","S4A01321_20180412_093409.wav","PkHi","Core","Dry","H1",0.057451957,0.710632393046356
"475","S4A01321_20180412_094944.wav","FanL","Core","Dry","H1",0.053934074,0.667119138750299
"476","S4A01321_20180412_100134.wav","FLSP","NonCore","Dry","H1",0.050741527,0.627630017178288
"477","S4A01321_20180412_102741.wav","ChSh","NonCore","Dry","H1",0.03690346,0.456464765708337
"478","S4A01321_20180412_104349.wav","SokoM","NonCore","Dry","H1",0.058238344,0.720359338912978
"479","S4A01321_20180412_105702.wav","ShipL","NonCore","Dry","H1",0.030547414,0.377845821895984
"480","S4A01321_20180412_112631.wav","TsLk","Core","Dry","H1",0.048221836,0.596463558478415
"481","S4A01321_20180412_113626.wav","TaiO","Core","Dry","H1",0.042685481,0.527983503005211
"482","S4A01321_20180412_115337.wav","AirP","NonCore","Dry","H1",0.057877726,0.715898797519835
"483","S4A01321_20180412_120942.wav","MaPkS","NonCore","Dry","H1",0.024873754,0.30766741904138
"484","S4A01321_20180412_123117.wav","MaPkN","NonCore","Dry","H1",0.040318844,0.498710193572391
"485","S4A01321_20180412_123931.wav","MaPkM","NonCore","Dry","H1",0.045420322,0.561811186271619
"486","S4A01321_20180430_092732.wav","AirP","NonCore","Dry","H1",0.008232168,0.101824995200766
"487","S4A01321_20180430_094252.wav","MaPkS","NonCore","Dry","H1",0.020813563,0.257446270846981
"488","S4A01321_20180430_100333.wav","MaPkN","NonCore","Dry","H1",0.043777537,0.541491317345123
"489","S4A01321_20180430_101343.wav","MaPkM","NonCore","Dry","H1",0.009785951,0.121043984234765
"490","S4A01321_20180430_104137.wav","Bros","NonCore","Dry","H1",0.040705405,0.503491628058398
"491","S4A01321_20180430_112926.wav","TaiO","Core","Dry","H1",0.042268672,0.522827926196691
"492","S4A01321_20180430_113930.wav","TsLk","Core","Dry","H1",0.036311728,0.449145538493812
"493","S4A01321_20180430_114953.wav","PkHi","Core","Dry","H1",0.052786899,0.652929548733497
"494","S4A01321_20180430_120248.wav","FanL","Core","Dry","H1",0.050688565,0.626974921777438
"495","S4A01321_20180430_121457.wav","FLSP","NonCore","Dry","H1",0.047336391,0.585511348456032
"496","S4A01321_20180430_124038.wav","ChSh","NonCore","Dry","H1",0.042683811,0.527962846509621
"497","S4A01321_20180430_130729.wav","SokoM","NonCore","Dry","H1",0.072194942,0.892990719172592
"498","S4A01321_20180430_133022.wav","ShipL","NonCore","Dry","H1",0.034190675,0.422909896613621
"499","S4A01321_20180502_111149.wav","FanL","Core","Wet","H1",0.045524921,0.563104987937596
"500","S4A01321_20180502_112341.wav","FLSP","NonCore","Wet","H1",0.040759725,0.504163520777218
"501","S4A01321_20180502_114914.wav","ChSh","NonCore","Wet","H1",0.046954856,0.580792081363339
"502","S4A01321_20180502_121747.wav","SokoM","NonCore","Wet","H1",0.039552963,0.489236889680955
"503","S4A01321_20180502_123304.wav","ShipL","NonCore","Wet","H1",0.038360909,0.474492184175788
"504","S4A01321_20180502_130101.wav","PkHi","Core","Wet","H1",0.070456929,0.871492959969443
"505","S4A01321_20180522_101240.wav","FanL","Core","Wet","H1",0.048623498,0.601431779635021
"506","S4A01321_20180522_102538.wav","FLSP","NonCore","Wet","H1",0.042241515,0.522492016944758
"507","S4A01321_20180522_103701.wav","SokoN","NonCore","Wet","H1",0.023487774,0.290524012001053
"508","S4A01321_20180522_105132.wav","ChSh","NonCore","Wet","H1",0.040420457,0.499967060929488
"509","S4A01321_20180522_110839.wav","SokoM","NonCore","Wet","H1",0.04859511,0.601080643948315
"510","S4A01321_20180522_112152.wav","ShipL","NonCore","Wet","H1",0.066003616,0.816409223236603
"511","S4A01321_20180522_114532.wav","PkHi","Core","Wet","H1",0.054590614,0.675239986423611
"512","S4A01321_20180522_115608.wav","TsLk","Core","Wet","H1",0.080846238,0.999999975261682
"513","S4A01321_20180522_120553.wav","TaiO","Core","Wet","H1",0.053206358,0.658117903813461
"514","S4A01321_20180522_122238.wav","AirP","NonCore","Wet","H1",0.023399858,0.289436565015268
"515","S4A01321_20180522_123821.wav","MaPkS","NonCore","Wet","H1",0.033188443,0.410513129614933
"516","S4A01321_20180522_125659.wav","MaPkN","NonCore","Wet","H1",0.045280585,0.560082757095444
"517","S4A01321_20180522_130626.wav","MaPkM","NonCore","Wet","H1",0.02979352,0.368520787113909
"518","S4A01321_20180523_092742.wav","AirP","NonCore","Wet","H1",0.041312827,0.511004927378193
"519","S4A01321_20180523_094638.wav","MaPkS","NonCore","Wet","H1",0.027141593,0.335718680299789
"520","S4A01321_20180523_100819.wav","MaPkN","NonCore","Wet","H1",0.040420201,0.499963894424775
"521","S4A01321_20180523_101601.wav","MaPkM","NonCore","Wet","H1",0.066505113,0.82261231938554
"522","S4A01321_20180523_104307.wav","Bros","NonCore","Wet","H1",0.070488058,0.871877999521066
"523","S4A01321_20180523_112808.wav","TaiO","Core","Wet","H1",0.051428104,0.636122397281556
"524","S4A01321_20180523_113845.wav","TsLk","Core","Wet","H1",0.037785958,0.467380523819042
"525","S4A01321_20180523_133657.wav","FLSP","NonCore","Wet","H1",0.050428619,0.623759608362739
"526","S4A01321_20180523_134740.wav","ShPk","NonCore","Wet","H1",0.061052848,0.755172386495649
"527","S4A01321_20180523_140229.wav","ChSh","NonCore","Wet","H1",0.043368787,0.536435423589273
"528","S4A01321_20180523_141935.wav","SokoM","NonCore","Wet","H1",0.063466652,0.785029112052706
"529","S4A01321_20180530_091526.wav","AirP","NonCore","Wet","H1",0.023583538,0.29170853214695
"530","S4A01321_20180530_093245.wav","MaPkS","NonCore","Wet","H1",0.018613262,0.230230397851527
"531","S4A01321_20180530_095126.wav","MaPkN","NonCore","Wet","H1",0.048706659,0.60246041126959
"532","S4A01321_20180530_100011.wav","MaPkM","NonCore","Wet","H1",0.043759152,0.541263910356252
"533","S4A01321_20180530_104027.wav","TaiO","Core","Wet","H1",0.042087583,0.520588007556072
"534","S4A01321_20180530_104954.wav","TsLk","Core","Wet","H1",0.038360944,0.474492617096355
"535","S4A01321_20180530_113856.wav","FanL","Core","Wet","H1",0.054314148,0.671820334501642
"536","S4A01321_20180530_115704.wav","FLSP","NonCore","Wet","H1",0.06124262,0.757519706544176
"537","S4A01321_20180530_120751.wav","ShPk","NonCore","Wet","H1",0.059363801,0.734280295533843
"538","S4A01321_20180530_122103.wav","ChSh","NonCore","Wet","H1",0.054962198,0.67983616801474
"539","S4A01321_20180530_124016.wav","SokoM","NonCore","Wet","H1",0.055566791,0.687314474983623
"540","S4A01321_20180530_125502.wav","ShipL","NonCore","Wet","H1",0.027019857,0.334212908355416
"541","S4A01321_20180531_101231.wav","FanL","Core","Wet","H1",0.047130415,0.582963598554491
"542","S4A01321_20180531_102331.wav","FLSP","NonCore","Wet","H1",0.06993659,0.865056804125956
"543","S4A01321_20180531_103356.wav","ShPk","NonCore","Wet","H1",0.048843664,0.604155047903279
"544","S4A01321_20180531_104759.wav","ChSh","NonCore","Wet","H1",0.03950699,0.488668242332606
