,SC_ID,Pkey,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear,CNRatio,CNR,Site,AgeClass,sample_per_ID,Net_d15N,Weaning,Species,Sex,Lat,Lon,TBL,Region
82,HKSC132405,88,3,2.036,13.9,-16,2.5,7.1,1997,2000,2.84,U,HK,Juvenile,13,-1.1,Y,SC,M,22.40130556,113.9141667,246,EPRE
83,HKSC132405,89,4,2.035,13.7,-16.3,2.4,6.9,1997,2001,2.875,U,HK,Juvenile,13,-1.3,Y,SC,M,22.40130556,113.9141667,246,EPRE
84,HKSC132405,90,5,1.851,13.3,-16.4,2.6,7.4,1997,2002,2.846153846,U,HK,Juvenile,13,-1.7,Y,SC,M,22.40130556,113.9141667,246,EPRE
85,HKSC132405,91,6,1.321,12.7,-16.8,2.8,7.7,1997,2003,2.75,U,HK,Juvenile,13,-2.3,Y,SC,M,22.40130556,113.9141667,246,EPRE
86,HKSC132405,92,7,1.435,12.8,-16.8,2.7,7.6,1997,2004,2.814814815,U,HK,Juvenile,13,-2.2,Y,SC,M,22.40130556,113.9141667,246,EPRE
87,HKSC132405,93,8,1.507,13.4,-17.6,2.9,8,1997,2005,2.75862069,U,HK,Juvenile,13,-1.6,Y,SC,M,22.40130556,113.9141667,246,EPRE
88,HKSC132405,94,9,0.965,13.3,-16.9,2.9,8.1,1997,2006,2.793103448,U,HK,Juvenile,13,-1.7,Y,SC,M,22.40130556,113.9141667,246,EPRE
89,HKSC132405,95,10,1.514,13.7,-16.9,2.7,7.6,1997,2007,2.814814815,U,HK,Juvenile,13,-1.3,Y,SC,M,22.40130556,113.9141667,246,EPRE
90,HKSC132405,96,11,1.821,13.4,-16.9,1.2,3.5,1997,2008,2.916666667,U,HK,Adult,13,-1.6,Y,SC,M,22.40130556,113.9141667,246,EPRE
91,HKSC132405,97,12,0.468,12.4,-16.7,2.8,7.9,1997,2009,2.821428571,U,HK,Adult,13,-2.6,Y,SC,M,22.40130556,113.9141667,246,EPRE
92,HKSC132405,98,13,0.438,11.7,-17.1,2.9,8.6,1997,2010,2.965517241,U,HK,Adult,13,-3.3,Y,SC,M,22.40130556,113.9141667,246,EPRE
93,HKSC150505,190,1,1.044,16.6,-16.4,2.2,6.2,1997,1998,2.818181818,U,HK,Juvenile,9,0,Y,SC,M,22.36277778,113.9872222,245,EPRE
94,HKSC150505,191,2,0.879,14.3,-16.8,2.3,6.1,1997,1999,2.652173913,U,HK,Juvenile,9,-2.3,Y,SC,M,22.36277778,113.9872222,245,EPRE
95,HKSC150505,192,3,0.237,11.4,-18.5,1.9,6,1997,2000,3.157894737,U,HK,Juvenile,9,-5.2,Y,SC,M,22.36277778,113.9872222,245,EPRE
96,HKSC150505,193,4,0.555,12.9,-16.4,2,5.7,1997,2001,2.85,U,HK,Juvenile,9,-3.7,Y,SC,M,22.36277778,113.9872222,245,EPRE
97,HKSC150505,194,5,0.381,12.4,-18.4,2,5.9,1997,2002,2.95,U,HK,Juvenile,9,-4.2,Y,SC,M,22.36277778,113.9872222,245,EPRE
98,HKSC150505,195,6,1.284,13.8,-18,2.1,5.9,1997,2003,2.80952381,U,HK,Juvenile,9,-2.8,Y,SC,M,22.36277778,113.9872222,245,EPRE
99,HKSC150505,196,7,0.609,12.9,-17.3,2.1,6.1,1997,2004,2.904761905,U,HK,Juvenile,9,-3.7,Y,SC,M,22.36277778,113.9872222,245,EPRE
100,HKSC150505,197,8,0.725,12.6,-17.9,2.2,6.1,1997,2005,2.772727273,U,HK,Juvenile,9,-4,Y,SC,M,22.36277778,113.9872222,245,EPRE
101,HKSC150505,198,9,0.773,13.1,-17.8,2.3,6.4,1997,2006,2.782608696,U,HK,Juvenile,9,-3.5,Y,SC,M,22.36277778,113.9872222,245,EPRE
102,HKSC151601_Hope,535,1,0.607,14.8,-14.9,2.81,8.24,1986,1987,2.932384342,U,HK,Juvenile,19,0,Y,SC,M,22.19233333,113.8990556,235,EPRE
103,HKSC151601_Hope,536,10,0.558,13,-14.5,2.94,8.49,1986,1996,2.887755102,U,HK,Juvenile,19,-1.8,Y,SC,M,22.19233333,113.8990556,235,EPRE
104,HKSC151601_Hope,537,11,0.653,12.9,-14.5,3.05,8.86,1986,1997,2.904918033,U,HK,Adult,19,-1.9,Y,SC,M,22.19233333,113.8990556,235,EPRE
105,HKSC151601_Hope,538,12,0.597,12.8,-14.8,3.02,8.75,1986,1998,2.897350993,U,HK,Adult,19,-2,Y,SC,M,22.19233333,113.8990556,235,EPRE
106,HKSC151601_Hope,539,13,0.49,12.8,-14.7,3.25,9.29,1986,1999,2.858461538,U,HK,Adult,19,-2,Y,SC,M,22.19233333,113.8990556,235,EPRE
107,HKSC151601_Hope,540,14,0.514,12.6,-14.7,3.27,9.48,1986,2000,2.899082569,U,HK,Adult,19,-2.2,Y,SC,M,22.19233333,113.8990556,235,EPRE
108,HKSC151601_Hope,541,15,0.508,12.4,-14.7,3.26,9.63,1986,2001,2.95398773,U,HK,Adult,19,-2.4,Y,SC,M,22.19233333,113.8990556,235,EPRE
109,HKSC151601_Hope,542,16,0.407,12.5,-14.5,3.37,9.65,1986,2002,2.863501484,U,HK,Adult,19,-2.3,Y,SC,M,22.19233333,113.8990556,235,EPRE
110,HKSC151601_Hope,543,17,0.329,10.7,-15.1,3.6,10.51,1986,2003,2.919444444,U,HK,Adult,19,-4.1,Y,SC,M,22.19233333,113.8990556,235,EPRE
111,HKSC151601_Hope,544,18,0.413,11.2,-15,3.32,9.65,1986,2004,2.906626506,U,HK,Adult,19,-3.6,Y,SC,M,22.19233333,113.8990556,235,EPRE
112,HKSC151601_Hope,545,19,0.302,11.3,-15.2,3.8,10.95,1986,2005,2.881578947,U,HK,Adult,19,-3.5,Y,SC,M,22.19233333,113.8990556,235,EPRE
113,HKSC151601_Hope,546,2,0.831,14,-15.1,2.56,7.61,1986,1988,2.97265625,U,HK,Juvenile,19,-0.8,Y,SC,M,22.19233333,113.8990556,235,EPRE
114,HKSC151601_Hope,547,3,0.96,13.5,-15,2.67,7.91,1986,1989,2.962546816,U,HK,Juvenile,19,-1.3,Y,SC,M,22.19233333,113.8990556,235,EPRE
115,HKSC151601_Hope,548,4,0.96,13.3,-15.2,2.12,6.31,1986,1990,2.976415094,U,HK,Juvenile,19,-1.5,Y,SC,M,22.19233333,113.8990556,235,EPRE
116,HKSC151601_Hope,549,5,0.643,12.6,-15,2.77,8.15,1986,1991,2.942238267,U,HK,Juvenile,19,-2.2,Y,SC,M,22.19233333,113.8990556,235,EPRE
117,HKSC151601_Hope,550,6,0.748,12.7,-14.9,2.75,8.05,1986,1992,2.927272727,U,HK,Juvenile,19,-2.1,Y,SC,M,22.19233333,113.8990556,235,EPRE
118,HKSC151601_Hope,551,7,0.98,13.6,-14.4,2.75,8.06,1986,1993,2.930909091,U,HK,Juvenile,19,-1.2,Y,SC,M,22.19233333,113.8990556,235,EPRE
119,HKSC151601_Hope,552,8,1.037,13.5,-14.7,2.75,8.18,1986,1994,2.974545455,U,HK,Juvenile,19,-1.3,Y,SC,M,22.19233333,113.8990556,235,EPRE
120,HKSC151601_Hope,553,9,0.722,13.3,-14.6,2.93,8.6,1986,1995,2.935153584,U,HK,Juvenile,19,-1.5,Y,SC,M,22.19233333,113.8990556,235,EPRE
121,HKSC162306B,199,1,2.172,16.8,-15,1.8,4.7,2006,2007,2.611111111,U,HK,Juvenile,9,0,Y,SC,M,22.36577778,114.0591667,272.5,EPRE
122,HKSC162306B,200,2,1.812,14.3,-14.9,2.1,5.3,2006,2008,2.523809524,U,HK,Juvenile,9,-2.5,Y,SC,M,22.36577778,114.0591667,272.5,EPRE
123,HKSC162306B,201,3,1.674,14,-15.1,2.4,6,2006,2009,2.5,U,HK,Juvenile,9,-2.8,Y,SC,M,22.36577778,114.0591667,272.5,EPRE
124,HKSC162306B,202,4,0.981,13.6,-15.5,2.2,5.7,2006,2010,2.590909091,U,HK,Juvenile,9,-3.2,Y,SC,M,22.36577778,114.0591667,272.5,EPRE
125,HKSC162306B,203,5,1.331,14.7,-14.9,1.9,5.1,2006,2011,2.684210526,U,HK,Juvenile,9,-2.1,Y,SC,M,22.36577778,114.0591667,272.5,EPRE
126,HKSC162306B,204,6,1.018,14.7,-14.8,2.4,6.3,2006,2012,2.625,U,HK,Juvenile,9,-2.1,Y,SC,M,22.36577778,114.0591667,272.5,EPRE
127,HKSC162306B,205,7,0.902,14.4,-15.4,2.5,6.3,2006,2013,2.52,U,HK,Juvenile,9,-2.4,Y,SC,M,22.36577778,114.0591667,272.5,EPRE
128,HKSC162306B,206,8,0.915,14.2,-15,2.1,5.5,2006,2014,2.619047619,U,HK,Juvenile,9,-2.6,Y,SC,M,22.36577778,114.0591667,272.5,EPRE
129,HKSC162306B,207,9,0.883,13.6,-14.4,2.1,5.5,2006,2015,2.619047619,U,HK,Juvenile,9,-3.2,Y,SC,M,22.36577778,114.0591667,272.5,EPRE
130,HKSC181702,759,1,0.716,15.1,-13.7,2.18,6.29,1974,1975,2.885321101,U,HK,Juvenile,17,0,Y,SC,F,22.35933333,114.06625,249,EPRE
131,HKSC181702,760,2,0.518,14.7,-14,2.06,5.9,1974,1976,2.86407767,U,HK,Juvenile,17,-0.4,Y,SC,F,22.35933333,114.06625,249,EPRE
132,HKSC181702,761,3,1.389,13.8,-14.4,2.18,5.88,1974,1977,2.697247706,U,HK,Juvenile,17,-1.3,Y,SC,F,22.35933333,114.06625,249,EPRE
133,HKSC181702,762,4,1.348,14.3,-14.1,1.93,5.69,1974,1978,2.948186528,U,HK,Juvenile,17,-0.8,Y,SC,F,22.35933333,114.06625,249,EPRE
134,HKSC181702,763,5,1.315,14,-13.4,1.87,5.41,1974,1979,2.893048128,U,HK,Juvenile,17,-1.1,Y,SC,F,22.35933333,114.06625,249,EPRE
135,HKSC181702,764,6,1.256,13.6,-17,2.14,6.92,1974,1980,3.23364486,U,HK,Juvenile,17,-1.5,Y,SC,F,22.35933333,114.06625,249,EPRE
136,HKSC181702,765,7,1.256,13.7,-14.5,2.43,7.04,1974,1981,2.897119342,U,HK,Juvenile,17,-1.4,Y,SC,F,22.35933333,114.06625,249,EPRE
137,HKSC181702,766,8,1.358,13.7,-14.5,2.02,5.99,1974,1982,2.965346535,U,HK,Juvenile,17,-1.4,Y,SC,F,22.35933333,114.06625,249,EPRE
138,HKSC181702,767,9,1.435,13.8,-14.5,1.77,5.22,1974,1983,2.949152542,U,HK,Juvenile,17,-1.3,Y,SC,F,22.35933333,114.06625,249,EPRE
139,HKSC181702,768,10,0.914,13.8,-12.6,2.13,6.03,1974,1984,2.830985915,U,HK,Juvenile,17,-1.3,Y,SC,F,22.35933333,114.06625,249,EPRE
140,HKSC181702,769,11,0.888,13.6,-14.2,2.21,6.4,1974,1985,2.895927602,U,HK,Adult,17,-1.5,Y,SC,F,22.35933333,114.06625,249,EPRE
141,HKSC181702,770,12,0.857,13.9,-14,2.08,6.18,1974,1986,2.971153846,U,HK,Adult,17,-1.2,Y,SC,F,22.35933333,114.06625,249,EPRE
142,HKSC181702,771,13,0.838,13.8,-14.2,2.13,6.09,1974,1987,2.85915493,U,HK,Adult,17,-1.3,Y,SC,F,22.35933333,114.06625,249,EPRE
143,HKSC181702,772,14,0.793,14,-14.1,2.16,6.24,1974,1988.5,2.888888889,U,HK,Adult,17,-1.1,Y,SC,F,22.35933333,114.06625,249,EPRE
144,HKSC181702,773,16,0.659,13.7,-13.8,2.13,6.27,1974,1990.5,2.943661972,U,HK,Adult,17,-1.4,Y,SC,F,22.35933333,114.06625,249,EPRE
145,HKSC181702,774,18,0.584,13.9,-14.3,2.11,6.14,1974,1992.5,2.909952607,U,HK,Adult,17,-1.2,Y,SC,F,22.35933333,114.06625,249,EPRE
146,HKSC181702,775,20,0.704,14.2,-14.1,2.28,6.49,1974,1994,2.846491228,U,HK,Adult,17,-0.9,Y,SC,F,22.35933333,114.06625,249,EPRE
147,JMSC140422,304,1,1.351,17.7,-17.4,2.4,7.7,2007,2008,3.208333333,U,WPRE,Juvenile,7,0,Y,SC,F,21.87782797,113.055509,229,WPRE
148,JMSC140422,305,2,1.816,17.1,-16.1,0.6,1.8,2007,2009,3,U,WPRE,Juvenile,7,-0.6,Y,SC,F,21.87782797,113.055509,229,WPRE
149,JMSC140422,306,3,1.643,15,-15.6,2.1,6,2007,2010,2.857142857,U,WPRE,Juvenile,7,-2.7,Y,SC,F,21.87782797,113.055509,229,WPRE
150,JMSC140422,307,4,1.003,14.3,-15.1,2.5,6.7,2007,2011,2.68,U,WPRE,Juvenile,7,-3.4,Y,SC,F,21.87782797,113.055509,229,WPRE
