,Pkey,SC_ID,Region,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear,CNRatio,CNR,Site,AgeClass,sample_per_ID,Net_d15N,Weaning
319,547,HKSC150210_Hope,EPRE,3,0.96,13.5,-15,2.67,7.91,1986,1989,2.962546816,U,HK,Juvenile,19,-1.3,Y
320,548,HKSC150210_Hope,EPRE,4,0.96,13.3,-15.2,2.12,6.31,1986,1990,2.976415094,U,HK,Juvenile,19,-1.5,Y
321,549,HKSC150210_Hope,EPRE,5,0.643,12.6,-15,2.77,8.15,1986,1991,2.942238267,U,HK,Juvenile,19,-2.2,Y
322,550,HKSC150210_Hope,EPRE,6,0.748,12.7,-14.9,2.75,8.05,1986,1992,2.927272727,U,HK,Juvenile,19,-2.1,Y
323,551,HKSC150210_Hope,EPRE,7,0.98,13.6,-14.4,2.75,8.06,1986,1993,2.930909091,U,HK,Juvenile,19,-1.2,Y
324,552,HKSC150210_Hope,EPRE,8,1.037,13.5,-14.7,2.75,8.18,1986,1994,2.974545455,U,HK,Juvenile,19,-1.3,Y
325,553,HKSC150210_Hope,EPRE,9,0.722,13.3,-14.6,2.93,8.6,1986,1995,2.935153584,U,HK,Juvenile,19,-1.5,Y
97,190,HKSC150505,EPRE,1,1.044,16.6,-16.4,2.2,6.2,1997,1998,2.818181818,U,HK,Juvenile,9,0,Y
98,191,HKSC150505,EPRE,2,0.879,14.3,-16.8,2.3,6.1,1997,1999,2.652173913,U,HK,Juvenile,9,-2.3,Y
99,192,HKSC150505,EPRE,3,0.237,11.4,-18.5,1.9,6,1997,2000,3.157894737,U,HK,Juvenile,9,-5.2,Y
100,193,HKSC150505,EPRE,4,0.555,12.9,-16.4,2,5.7,1997,2001,2.85,U,HK,Juvenile,9,-3.7,Y
101,194,HKSC150505,EPRE,5,0.381,12.4,-18.4,2,5.9,1997,2002,2.95,U,HK,Juvenile,9,-4.2,Y
102,195,HKSC150505,EPRE,6,1.284,13.8,-18,2.1,5.9,1997,2003,2.80952381,U,HK,Juvenile,9,-2.8,Y
103,196,HKSC150505,EPRE,7,0.609,12.9,-17.3,2.1,6.1,1997,2004,2.904761905,U,HK,Juvenile,9,-3.7,Y
104,197,HKSC150505,EPRE,8,0.725,12.6,-17.9,2.2,6.1,1997,2005,2.772727273,U,HK,Juvenile,9,-4,Y
105,198,HKSC150505,EPRE,9,0.773,13.1,-17.8,2.3,6.4,1997,2006,2.782608696,U,HK,Juvenile,9,-3.5,Y
106,199,HKSC162306B,EPRE,1,2.172,16.8,-15,1.8,4.7,2006,2007,2.611111111,U,HK,Juvenile,9,0,Y
107,200,HKSC162306B,EPRE,2,1.812,14.3,-14.9,2.1,5.3,2006,2008,2.523809524,U,HK,Juvenile,9,-2.5,Y
108,201,HKSC162306B,EPRE,3,1.674,14,-15.1,2.4,6,2006,2009,2.5,U,HK,Juvenile,9,-2.8,Y
109,202,HKSC162306B,EPRE,4,0.981,13.6,-15.5,2.2,5.7,2006,2010,2.590909091,U,HK,Juvenile,9,-3.2,Y
110,203,HKSC162306B,EPRE,5,1.331,14.7,-14.9,1.9,5.1,2006,2011,2.684210526,U,HK,Juvenile,9,-2.1,Y
111,204,HKSC162306B,EPRE,6,1.018,14.7,-14.8,2.4,6.3,2006,2012,2.625,U,HK,Juvenile,9,-2.1,Y
112,205,HKSC162306B,EPRE,7,0.902,14.4,-15.4,2.5,6.3,2006,2013,2.52,U,HK,Juvenile,9,-2.4,Y
113,206,HKSC162306B,EPRE,8,0.915,14.2,-15,2.1,5.5,2006,2014,2.619047619,U,HK,Juvenile,9,-2.6,Y
114,207,HKSC162306B,EPRE,9,0.883,13.6,-14.4,2.1,5.5,2006,2015,2.619047619,U,HK,Juvenile,9,-3.2,Y
472,759,HKSC181702,EPRE,1,0.716,15.1,-13.7,2.18,6.29,1974,1975,2.885321101,U,HK,Juvenile,17,0,Y
473,760,HKSC181702,EPRE,2,0.518,14.7,-14,2.06,5.9,1974,1976,2.86407767,U,HK,Juvenile,17,-0.4,Y
474,761,HKSC181702,EPRE,3,1.389,13.8,-14.4,2.18,5.88,1974,1977,2.697247706,U,HK,Juvenile,17,-1.3,Y
475,762,HKSC181702,EPRE,4,1.348,14.3,-14.1,1.93,5.69,1974,1978,2.948186528,U,HK,Juvenile,17,-0.8,Y
476,763,HKSC181702,EPRE,5,1.315,14,-13.4,1.87,5.41,1974,1979,2.893048128,U,HK,Juvenile,17,-1.1,Y
