H,HSD,HCV,D,DSD,DCV,A,ASD,ACV,Goal,Result
1.104,0.047,0.042,8.675,1.422,0.164,15.419,3.342,0.217,0-2',A
2.618,0.096,0.037,3.157,0.106,0.034,2.516,0.096,0.038,2-1',H
2.984,0.117,0.039,3.328,0.08,0.024,2.145,0.038,0.018,2-4',A
2.557,0.089,0.035,3.367,0.122,0.036,2.554,0.083,0.032,1-4',A
2.389,0.086,0.036,2.822,0.079,0.028,3.177,0.164,0.052,0-1',A
2.022,0.044,0.022,3.532,0.119,0.034,3.131,0.118,0.038,2-1',H
8.268,2.086,0.252,5.354,0.729,0.136,1.286,0.08,0.062,1-0',H
2.255,0.176,0.078,3.31,0.108,0.033,2.865,0.281,0.098,1-0',H
1.444,0.04,0.028,4.244,0.183,0.043,6.046,0.775,0.128,4-0',H
2.621,0.139,0.053,2.897,0.121,0.042,2.915,0.157,0.054,0-1',A
2.323,0.119,0.051,3.254,0.141,0.043,2.853,0.1,0.035,1-3',A
2.018,0.084,0.042,3.691,0.179,0.048,3.045,0.174,0.057,2-3',A
3.42,0.319,0.093,3.944,0.212,0.054,1.892,0.113,0.06,3-2',H
1.922,0.088,0.046,3.378,0.1,0.03,3.689,0.336,0.091,1-0',H
1.769,0.064,0.036,3.618,0.168,0.046,4.151,0.199,0.048,5-2',H
2.515,0.089,0.036,3.642,0.173,0.047,2.428,0.113,0.047,0-2',A
3.963,0.238,0.06,3.224,0.135,0.042,1.923,0.093,0.049,2-2',D
1.989,0.07,0.035,3.522,0.172,0.049,3.366,0.143,0.042,2-2',D
1.59,0.045,0.028,3.637,0.119,0.033,5.352,0.337,0.063,2-1',H
2.311,0.069,0.03,3.252,0.103,0.032,2.856,0.088,0.031,3-0',H
3.064,0.158,0.052,3.35,0.134,0.04,2.156,0.143,0.066,1-0',H
3.129,0.289,0.092,3.379,0.141,0.042,2.178,0.281,0.129,1-0',H
1.628,0.052,0.032,3.625,0.197,0.054,5.198,0.516,0.099,2-1',H
1.736,0.045,0.026,3.54,0.163,0.046,4.462,0.249,0.056,0-0',D
2.593,0.124,0.048,3.109,0.131,0.042,2.659,0.101,0.038,1-3',A
3.004,0.193,0.064,3.304,0.132,0.04,2.243,0.096,0.043,0-2',A
1.743,0.048,0.027,3.471,0.135,0.039,4.392,0.218,0.05,1-0',H
1.28,0.034,0.026,5.062,0.192,0.038,7.647,0.633,0.083,3-2',H
2.585,0.079,0.031,3.398,0.109,0.032,2.445,0.124,0.051,2-2',D
