Pkey,Date,League,H,D,A,FH,FD,FA,HandH,HandA,Hand_H,Hand_A,HHH,HHD,HHA,HH_H,HH_A,Hilo,Hi,Lo,F_Hilo,F_Hi,F_Lo,H_Mean,H_SD,H_CV,D_Mean,D_SD,D_CV,A_Mean,A_SD,A_CV,Num,H_Prob,D_Prob,A_Prob,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,Stat
52,20190720,87,1.72,3.35,4.1,2.4,2,4.7,NaN,NaN,NaN,NaN,3.2,3.3,1.95,[-1],[+1],2.5/2.5,2.1,1.65,1.5/1.5,3.4,1.27,1.74,0.05,0.03,3.47,0.14,0.04,4.39,0.22,0.05,67,51%,27%,22%,1,0,1,0,1,1,H,H,7.86
53,20190720,87,2.4,3.1,2.6,3.2,1.9,3.45,1.83,1.99,[+0.0/+0.0],[-0.0/-0.0],5.25,3.8,1.48,[-1],[+1],2.5/2.5,2.3,1.54,1.5/1.5,3.7,1.23,1.28,0.03,0.03,5.06,0.19,0.04,7.65,0.63,0.08,0,0%,0%,0%,2,0,3,2,2,5,H,H,12.71
54,20190720,87,2.55,3.6,2.2,3.15,2.2,2.8,NaN,NaN,NaN,NaN,1.57,4,4.15,[+1],[-1],2.5/2.5,1.6,2.19,1.5/1.5,2.55,1.45,2.58,0.08,0.03,3.4,0.11,0.03,2.44,0.12,0.05,11,27%,18%,55%,0,0,2,2,0,4,D,D,5.98
55,20190720,87,2.35,3.15,2.62,3.15,1.92,3.45,NaN,NaN,NaN,NaN,5,3.8,1.5,[-1],[+1],2.5/2.5,2.2,1.59,1.5/1.5,3.55,1.25,2.25,0.09,0.04,3.13,0.12,0.04,3.09,0.28,0.09,223,41%,31%,28%,0,2,3,2,2,5,A,H,6.22
56,20190720,88,3.75,3.4,1.78,4.1,2.2,2.33,NaN,NaN,NaN,NaN,1.87,3.55,3.2,[+1],[-1],2.5/2.5,1.7,2.02,1.5/1.5,2.68,1.41,3.84,0.2,0.05,3.51,0.11,0.03,1.84,0.07,0.04,12,0%,33%,67%,1,1,2,4,2,6,D,A,7.35
57,20190720,88,2.22,3.2,2.77,2.9,2.02,3.45,NaN,NaN,NaN,NaN,4.4,3.85,1.56,[-1],[+1],2.5/2.5,1.8,1.9,1.5/1.5,2.82,1.37,2.2,0.06,0.03,3.36,0.11,0.03,2.96,0.13,0.04,40,20%,48%,33%,1,2,2,2,3,4,A,D,6.32
58,20190720,88,1.67,3.3,4.5,2.3,2.03,4.95,NaN,NaN,NaN,NaN,3.05,3.25,2.03,[-1],[+1],2.5/2.5,2.02,1.7,1.5/1.5,3.2,1.3,1.7,0.04,0.03,3.53,0.13,0.04,4.59,0.26,0.06,28,57%,21%,21%,0,0,1,2,0,3,D,A,8.12
59,20190720,122,3.9,3.1,1.84,4.8,1.95,2.45,2.19,1.7,[+0.0/+0.5],[-0.0/-0.5],1.83,3.3,3.6,[+1],[-1],2.0/2.5,1.98,1.73,1.5/1.5,3.3,1.28,4.52,0.68,0.15,3.3,0.21,0.06,1.82,0.15,0.08,24,42%,25%,33%,2,0,2,3,2,5,H,A,7.81
60,20190720,144,1.95,3.5,3.05,2.5,2.2,3.65,1.79,1.98,[+0.0/-0.5],[-0.0/+0.5],3.6,3.75,1.71,[-1],[+1],2.5/2.5,1.68,2.05,1.5/1.5,2.5,1.46,2.14,0.06,0.03,3.49,0.12,0.03,3.06,0.12,0.04,13,39%,15%,46%,0,0,1,0,0,1,D,H,6.55
61,20190720,93,6.2,4.3,1.37,6,2.45,1.81,1.79,1.98,[+1.0/+1.5],[-1.0/-1.5],2.7,3.55,2.1,[+1],[-1],3.5/3.5,2.55,1.45,1.5/1.5,2.3,1.54,6.07,0.51,0.08,4.46,0.19,0.04,1.44,0.03,0.02,0,0%,0%,0%,0,0,0,0,0,0,D,D,10.53
62,20190720,122,2.25,2.88,3,3,1.8,4.15,2.05,1.8,[+0.0/-0.5],[-0.0/+0.5],4.95,3.55,1.55,[-1],[+1],2.0/2.5,2.15,1.62,1.5/1.5,3.6,1.24,2.5,0.14,0.06,3.02,0.13,0.04,2.85,0.2,0.07,76,37%,37%,26%,1,2,2,3,3,5,A,A,5.87
63,20190720,56,2.28,3,2.85,3.05,1.94,3.5,NaN,NaN,NaN,NaN,4.75,3.8,1.53,[-1],[+1],2.5/2.5,2.15,1.62,1.5/1.5,3.2,1.3,2.26,0.08,0.04,3.17,0.11,0.04,3.11,0.17,0.06,176,45%,26%,30%,0,1,2,1,1,3,A,H,6.28
64,20190720,58,2.08,3.3,2.95,2.65,2.15,3.5,1.93,1.91,[+0.0/-0.5],[-0.0/+0.5],3.9,3.8,1.64,[-1],[+1],2.5/2.5,1.75,1.95,1.5/1.5,2.55,1.45,1.9,0.15,0.08,3.5,0.16,0.05,3.78,0.47,0.12,64,48%,33%,19%,3,0,4,0,3,4,H,H,7.29
65,20190720,58,1.53,3.35,5.8,2.1,2,6.55,1.89,1.95,[-0.5/-1.0],[+0.5/+1.0],2.78,3.05,2.28,[-1],[+1],2.5/2.5,2.3,1.54,1.5/1.5,3.25,1.29,1.61,0.05,0.03,3.51,0.15,0.04,5.67,0.39,0.07,0,0%,0%,0%,1,0,2,0,1,2,H,H,9.18
66,20190720,36,1.93,3.35,3.25,2.52,2.2,3.6,NaN,NaN,NaN,NaN,3.65,3.65,1.73,[-1],[+1],2.5/2.5,1.7,2.02,1.5/1.5,2.48,1.47,1.94,0.05,0.03,3.51,0.11,0.03,3.4,0.17,0.05,0,0%,0%,0%,1,1,2,2,2,4,D,D,6.91
67,20190720,36,1.2,5.4,9.5,1.59,2.75,7.5,NaN,NaN,NaN,NaN,1.68,3.85,3.65,[-1],[+1],3.0/3.5,1.93,1.77,1.5/1.5,2.05,1.68,1.27,0.02,0.02,5.2,0.26,0.05,8.62,0.96,0.11,2,50%,50%,0%,0,0,2,0,0,2,D,H,13.82
