League,H,D,A,FH,FD,FA,HandH,HandA,HHH,HHD,HHA,Hi,Lo,F_Hi_Odds,F_Lo_Odds,H_All,H_SD,H_CV,D_All,D_SD,D_CV,A_All,A_SD,A_CV,Num,H_per,D_per,A_per,Stat,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,F_Hilo,H_Hilo
55,2.9,3.45,2.05,3.8,2.05,2.65,1.91,1.93,1.66,3.7,3.9,1.83,1.87,1.55,2.29,3,0.19,0.06,3.3,0.13,0.04,2.24,0.1,0.04,89, 0.27 , 0.28 , 0.45 ,6.3,0,2,0,2,2,2,A,A,S,B
87,1.72,3.35,4.1,2.4,2,4.7,NaN,NaN,3.2,3.3,1.95,2.1,1.65,3.4,1.27,1.74,0.05,0.03,3.47,0.14,0.04,4.39,0.22,0.05,67, 0.51 , 0.27 , 0.22 ,7.9,1,0,1,0,1,1,H,H,S,S
87,2.4,3.1,2.6,3.2,1.9,3.45,1.83,1.99,5.25,3.8,1.48,2.3,1.54,3.7,1.23,1.28,0.03,0.03,5.06,0.19,0.04,7.65,0.63,0.08,0, -   , -   , -   ,12.7,2,0,3,2,2,5,H,H,B,B
87,2.55,3.6,2.2,3.15,2.2,2.8,NaN,NaN,1.57,4,4.15,1.6,2.19,2.55,1.45,2.58,0.08,0.03,3.4,0.11,0.03,2.44,0.12,0.05,11, 0.27 , 0.18 , 0.55 ,6,0,0,2,2,0,4,D,D,B,S
87,2.35,3.15,2.62,3.15,1.92,3.45,NaN,NaN,5,3.8,1.5,2.2,1.59,3.55,1.25,2.25,0.09,0.04,3.13,0.12,0.04,3.09,0.28,0.09,223, 0.41 , 0.31 , 0.28 ,6.2,0,2,3,2,2,5,A,H,B,B
88,3.75,3.4,1.78,4.1,2.2,2.33,NaN,NaN,1.87,3.55,3.2,1.7,2.02,2.68,1.41,3.84,0.2,0.05,3.51,0.11,0.03,1.84,0.07,0.04,12, -   , 0.33 , 0.67 ,7.4,1,1,2,4,2,6,D,A,B,B
88,2.22,3.2,2.77,2.9,2.02,3.45,NaN,NaN,4.4,3.85,1.56,1.8,1.9,2.82,1.37,2.2,0.06,0.03,3.36,0.11,0.03,2.96,0.13,0.04,40, 0.20 , 0.48 , 0.33 ,6.3,1,2,2,2,3,4,A,D,B,B
88,1.67,3.3,4.5,2.3,2.03,4.95,NaN,NaN,3.05,3.25,2.03,2.02,1.7,3.2,1.3,1.7,0.04,0.03,3.53,0.13,0.04,4.59,0.26,0.06,28, 0.57 , 0.21 , 0.21 ,8.1,0,0,1,2,0,3,D,A,B,S
122,3.9,3.1,1.84,4.8,1.95,2.45,2.19,1.7,1.83,3.3,3.6,1.98,1.73,3.3,1.28,4.52,0.68,0.15,3.3,0.21,0.06,1.82,0.15,0.08,24, 0.42 , 0.25 , 0.33 ,7.8,2,0,2,3,2,5,H,A,B,B
144,1.95,3.5,3.05,2.5,2.2,3.65,1.79,1.98,3.6,3.75,1.71,1.68,2.05,2.5,1.46,2.14,0.06,0.03,3.49,0.12,0.03,3.06,0.12,0.04,13, 0.39 , 0.15 , 0.46 ,6.6,0,0,1,0,0,1,D,H,S,S
93,6.2,4.3,1.37,6,2.45,1.81,1.79,1.98,2.7,3.55,2.1,2.55,1.45,2.3,1.54,6.07,0.51,0.08,4.46,0.19,0.04,1.44,0.03,0.02,0, -   , -   , -   ,10.5,0,0,0,0,0,0,D,D,S,S
122,2.25,2.88,3,3,1.8,4.15,2.05,1.8,4.95,3.55,1.55,2.15,1.62,3.6,1.24,2.5,0.14,0.06,3.02,0.13,0.04,2.85,0.2,0.07,76, 0.37 , 0.37 , 0.26 ,5.9,1,2,2,3,3,5,A,A,B,B
56,2.28,3,2.85,3.05,1.94,3.5,NaN,NaN,4.75,3.8,1.53,2.15,1.62,3.2,1.3,2.26,0.08,0.04,3.17,0.11,0.04,3.11,0.17,0.06,176, 0.45 , 0.26 , 0.30 ,6.3,0,1,2,1,1,3,A,H,B,S
