Pkey,Label,PlasticType,PlasticID,PlasticShape,Area,Perim.,Length,FeretX,FeretY,FeretAngle,MinFeret,Location
123,LFS_Y3_S03,PP,PP_2,Fragment,4032.8,217.455,102.398,6872.8,1931.2,56.31,56.8,LFS
124,LFS_Y3_S03,PP,PP_3,Fragment,19357.44,555.4,216.288,1278,2073.2,23.199,142,LFS
125,LFS_Y3_S03,PP,PP_4,Fragment,4032.8,217.455,102.398,1079.2,2130,123.69,56.8,LFS
126,LFS_Y3_S03,PP,PP_5,Fragment,1613.12,120.491,63.504,7781.6,2130,153.435,28.4,LFS
127,LFS_Y3_S03,PP,PP_6,Fragment,18550.88,732.691,244.306,5822,2896.8,125.538,160.655,LFS
128,LFS_Y3_S03,PP,PP_7,Fragment,2419.68,160.655,80.327,7440.8,3095.6,135,56.8,LFS
129,LFS_Y3_S03,PP,PP_8,Fragment,8872.16,314.418,142,4118,3266,53.13,85.2,LFS
130,LFS_Y3_S03,PP,PP_9,Fragment,6452.48,297.782,142,5509.6,3919.2,36.87,85.2,LFS
131,LFS_Y3_S03,PP,PP_10,Fragment,3226.24,217.455,89.809,8264.4,4089.6,108.435,56.8,LFS
132,LFS_Y3_S03,PP,PP_11,Fragment,51619.84,1000.055,406.626,4714.4,4260,102.095,227.2,LFS
133,LFS_Y3_S03,PP,PP_12,Fragment,1613.12,137.127,63.504,397.6,5254,116.565,28.4,LFS
134,LFS_Y3_S03,PP,PP_13,Fragment,5645.92,257.618,102.398,7440.8,5680,123.69,85.2,LFS
135,LFS_Y3_S03,PP,PP_14,Fragment,13711.52,491.709,228.968,4998.4,5850.4,150.255,96.484,LFS
136,LFS_Y3_S03,PP,PP_15,Fragment,2419.68,177.291,89.809,6588.8,5878.8,161.565,28.4,LFS
137,LFS_Y3_S03,PP,PP_16,Fragment,3226.24,217.455,89.809,5651.6,5907.2,108.435,56.8,LFS
138,LFS_Y3_S03,PP,PP_17,Fragment,9678.72,354.582,165.599,766.8,5935.6,120.964,85.2,LFS
139,LFS_Y3_S03,PP,PP_18,Fragment,2419.68,193.927,89.809,3038.8,6219.6,108.435,28.4,LFS
140,LFS_Y3_S03,PP,PP_19,Fragment,12904.96,662.109,305.877,8037.2,6532,68.199,79.804,LFS
141,LFS_Y3_S03,PP,PP_20,Fragment,4032.8,217.455,102.398,880.4,6901.2,56.31,56.8,LFS
142,LFS_Y3_S03,PP,PP_21,Fragment,3226.24,217.455,102.398,7668,7270.4,56.31,56.8,LFS
143,LFS_Y3_S03,PP,PP_22,Fragment,1613.12,137.127,63.504,5026.8,7355.6,116.565,28.4,LFS
144,LFS_Y3_S03,PP,PP_23,Fragment,8065.6,337.946,142,5282.4,8150.8,53.13,100.409,LFS
145,LFS_Y3_S03,PS,PS_1,Fragment,22583.68,628.837,221.811,5708.4,3976,129.806,170.4,LFS
146,LFS_Y3_S03,PS,PS_2,Fragment,2419.68,193.927,89.809,8463.2,5083.6,108.435,28.4,LFS
147,LFS_Y3_S04,PE,PE_1,Fragment,4839.36,217.455,102.398,7526,6674,123.69,56.8,LFS
148,LFS_Y3_S04,PET,PET_1,Fibre,12904.96,702.273,323.81,1817.6,1931.2,164.745,78.796,LFS
149,LFS_Y3_S04,PET,PET_2,Fragment,3226.24,250.727,117.096,7980.4,2385.6,104.036,28.4,LFS
150,LFS_Y3_S04,PET,PET_3,Fragment,2419.68,177.291,89.809,6901.2,4629.2,161.565,28.4,LFS
151,LFS_Y3_S04,PET,PET_4,Fibre,41941.12,2023.637,1040.652,8094,5140.4,99.462,340.8,LFS
152,LFS_Y3_S04,PET,PET_5,Fragment,1613.12,137.127,63.504,568,5168.8,116.565,28.4,LFS
153,LFS_Y3_S04,PET,PET_6,Fibre,33068.96,1047.11,496.797,1192.8,6645.6,149.036,115.823,LFS
154,LFS_Y3_S04,PET,PET_7,Fragment,6452.48,361.473,181.849,4572.4,7355.6,141.34,71.047,LFS
155,LFS_Y3_S04,PET,PET_8,Fragment,10485.28,595.564,281.146,5112,7781.6,135,116.912,LFS
156,LFS_Y3_S04,PET,PET_9,Fragment,24196.8,685.637,305.877,3663.6,8094,158.199,121.417,LFS
157,LFS_Y3_S04,PP,PP_1,Fragment,18550.88,742.437,216.288,568,4742.8,66.801,170.4,LFS
158,LFS_Y3_S04,PP,PP_2,Fragment,8872.16,354.582,142,6532,5736.8,126.87,113.6,LFS
159,LFS_Y3_S04,PP,PP_3,Fragment,9678.72,337.946,142,1192.8,5907.2,143.13,113.6,LFS
160,LFS_Y3_S04,PP,PP_4,Fragment,4839.36,217.455,102.398,4771.2,6276.4,123.69,56.8,LFS
161,LFS_Y3_S04,PP,PP_5,Fragment,166151.36,1957.092,655.665,4118,7412.4,72.35,452.924,LFS
162,LFS_Y3_S04,PP,PP_6,Fragment,78236.32,1150.964,449.043,3805.6,7696.4,18.435,278.539,LFS
163,LFS_Y3_S05,PET,PET_1,Fragment,26616.48,628.837,244.306,3180.8,3351.2,54.462,165.169,LFS
164,LFS_Y3_S05,PET,PET_2,Fibre,31455.84,1612.255,742.811,8633.6,8406.4,55.008,185.712,LFS
165,LFS_Y3_S05,PET,PET_3,Fragment,20970.56,605.309,269.426,7497.6,8065.6,108.435,113.6,LFS
166,LFS_Y3_S05,PP,PP_1,Fragment,9678.72,354.582,165.599,6475.2,908.8,120.964,85.2,LFS
167,LFS_Y3_S05,PP,PP_2,Fragment,9678.72,354.582,152.939,7298.8,1136,111.801,85.2,LFS
168,LFS_Y3_S05,PP,PP_3,Fragment,15324.64,524.982,242.65,3379.6,3635.2,69.444,85.2,LFS
169,LFS_Y3_S05,PP,PP_4,Fragment,6452.48,257.618,120.491,8065.6,3606.8,45,85.2,LFS
170,LFS_Y3_S05,PP,PP_5,Fragment,39521.44,846.291,323.81,1164.4,4061.2,105.255,177.985,LFS
171,LFS_Y3_S05,PP,PP_6,Fragment,11291.84,411.382,179.617,5282.4,4203.2,108.435,85.2,LFS
172,LFS_Y3_S05,PP,PP_7,Fibre,125016.8,5269.311,2468.118,284,4373.6,106.955,190.674,LFS
173,LFS_Y3_S05,PP,PP_8,Fragment,30649.28,789.491,285.416,3436.4,4430.4,95.711,188.629,LFS
174,LFS_Y3_S05,PP,PP_9,Fragment,4839.36,217.455,102.398,5424.4,5254,123.69,56.8,LFS
175,LFS_Y3_S05,PP,PP_10,Fragment,4839.36,240.982,102.398,6986.4,5765.2,33.69,80.327,LFS
176,LFS_Y3_S07,PET,PET_1,Fibre,45167.36,1712.0656,807.412,316,92,74.932,4.581,LFS
177,LFS_Y3_S07,PET,PET_2,Fibre,59685.44,1993.2256,850.8072,249,127,142.306,10.733,LFS
178,LFS_Y3_S07,PET,PET_3,Fibre,95174.08,5674.9732,2746.138,293,338,65.45,13.5,LFS
179,LFS_Y3_S07,PET,PET_4,Fibre,104852.8,5003.1428,2386.026,157,301,98.13,22.082,LFS
180,LFS_Y3_S07,PET,PET_5,Fibre,49200.16,2986.3736,1327.6148,264,324,40.426,10.956,LFS
181,LFS_Y3_S07,PP,PP_1,Fragment,9678.72,491.709,206.755,6446.8,284,74.055,85.2,LFS
182,LFS_Y3_S07,PP,PP_2,Fragment,12098.4,411.382,179.617,2556,568,108.435,85.2,LFS
183,LFS_Y3_S07,PP,PP_3,Fragment,54039.52,1829.71,579.249,653.2,4742.8,168.69,319.128,LFS
184,LFS_Y3_S07,PP,PP_4,Fragment,19357.44,749.328,267.925,2385.6,8946,57.995,160.655,LFS
185,LFS_Y3_S07,PP,PP_5,Fragment,6452.48,378.109,127.009,3692,9372,116.565,107.832,LFS
186,LFS_Y3_S12,PE,PE_1,Fragment,20164,498.6,204.795,3266,3777.2,33.69,160.655,LFS
187,LFS_Y3_S12,PET,PET_1,Fibre,27423.04,1962.801,983.014,4913.2,2300.4,56.31,363.678,LFS
188,LFS_Y3_S12,PET,PET_2,Fibre,87915.04,2925.546,1328.803,4089.6,4515.6,12.265,140.958,LFS
189,LFS_Y3_S12,PET,PET_3,Fibre,29842.72,1428.073,666.899,2186.8,5765.2,13.241,217.842,LFS
190,LFS_Y3_S12,PET,PET_4,Fibre,62105.12,2277.219,1039.138,1675.6,9258.4,42.274,337.685,LFS
